Cohort,Name,Grade,Empathy_Skills,Advocacy_Skills,Purpose,Number_of_Social_Impact_Classes,Number_of_sign_ups_on_Mobile_Serve,Students_reflection_on_empathy_beginning_of_year,Students_reflection_on_empathy_end_of_year,Empathy_Year_Delta,Students_reflection_on_advocacy_beginning_of_year,Students_reflection_on_advocacy_end_of_year,Advocacy_Year_Delta,Students_reflection_on_purpose_beginning_of_year,Students_reflection_on_purpose_end_of_year,Purpose_Delta,Teacher_feedback_on_the_above_areas_of_growth,Students_reflection_on_feeling_more_confident
2022,1,9,4,4,3,1,4,4,5,1,5,7,2,2,3,1,4,5
2022,2,9,5,5,5,2,5,4,5,1,5,6,1,6,7,1,7,6
2022,3,9,3,4,2,1,2,4,6,2,5,7,2,1,3,2,5,5
2022,4,9,4,3,4,2,5,3,4,1,2,4,2,3,5,2,4,4
2022,5,9,6,7,5,2,5,5,6,1,6,8,2,4,5,1,5,6
2022,6,9,3,4,4,1,2,2,3,1,3,5,2,3,4,1,5,4
2022,7,9,4,4,5,2,3,3,5,2,3,5,2,6,7,1,5,5
2022,8,9,2,3,1,1,5,1,2,1,3,5,2,1,2,1,4,3
2022,9,9,4,5,5,2,5,4,6,2,5,7,2,4,5,1,6,6
2022,10,9,5,5,6,3,3,5,7,2,5,7,2,6,8,2,8,7
2022,1,10,5,6,4,2,3,5,7,2,6,8,2,4,5,1,7,6
2022,2,10,7,7,7,3,3,8,10,2,6,8,2,8,9,1,10,9
2022,3,10,5,6,3,2,2,6,8,2,7,9,2,4,5,1,7,7
2022,4,10,5,5,6,2,4,4,6,2,6,7,1,6,8,2,6,7
2022,5,10,8,8,7,3,3,9,9,0,8,10,2,7,9,2,8,9
2022,6,10,5,5,5,3,5,4,6,2,4,5,1,6,7,1,6,6
2022,7,10,5,6,6,2,4,4,5,1,6,7,1,5,7,2,7,6
2022,8,10,4,5,2,2,5,3,5,2,5,6,1,1,3,2,4,4
2022,9,10,6,7,6,3,4,7,8,1,8,10,2,5,7,2,9,8
2022,10,10,6,7,7,2,5,5,7,2,7,8,1,7,9,2,7,8
2022,1,11,7,7,5,3,5,8,9,1,6,8,2,6,7,1,9,8
2022,2,11,9,9,9,4,4,8,10,2,10,11,1,10,10,0,10,10
2022,3,11,6,7,4,3,4,6,8,2,6,8,2,5,6,1,8,7
2022,4,11,6,7,7,4,4,6,7,1,8,9,1,7,8,1,8,8
2022,5,11,9,10,9,3,5,8,9,1,11,13,2,10,10,0,10,10
2022,6,11,7,7,7,4,4,6,7,1,6,7,1,6,7,1,6,7
2022,7,11,7,7,7,3,4,7,8,1,7,8,1,7,8,1,9,8
2022,8,11,6,6,4,4,5,6,8,2,7,9,2,3,5,2,6,7
