"","Student_ID","duration","service_categories","service_date","description","prompt_response","service_organization","Social_Impact_Board","Social_Impact_Program_Leader","Recurring_Programs","Social_Impact_Classes","Social_Impact_Clubs","result","Year_Month","Year","Month","Modified_Year"
"1",26131,4.5,"Empathy",2023-09-09,NA,"5.  Real World Experience Response: I was able to help autistic children learn and grow through social connections from tennis.","ACEing Autism (Los Angeles, CA)",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"2",26131,2,"Designing a Solution",2023-09-10,NA,"5.  Real World Experience Response: I learned shelve books in the kids section and got to check through the shelves to make sure the books were in order.","Plano Volunteer Library Shelving",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"3",26131,1,"Designing a Solution",2023-09-03,NA,"5.  Real World Experience Response: Today was the orientation on how to shelve books and help answer frequent questions. I learned what sections contained specific books and how to organize shelves.","Plano Volunteer Shelving",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"4",26131,2,"Exploring Purpose",2023-09-17,NA,"5.  Real World Experience Response: Today, I worked in the easy reader and easy book sections and I shelved books, and checked over shelves to ensure that books were in the right spot.","Plano Volunteer Shelving",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"5",26131,3.5,"Empathy",2023-09-23,NA,"5.  Real World Experience Response: I was able to help autistic children learn and grow though socila connections from tennis.","ACEing Autism (Los Angeles, CA)",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"6",26131,3.5,"Exploring Purpose",2023-09-30,"This was the last session of ACEing Autism for this season so it was a water day. The kids got to hit water balloons and play with water guns.","5.  Real World Experience Response: I enjoyed helped the kids have fun on their last day of tennis for summer season.","ACEing Autism (Los Angeles, CA)",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"7",26131,2,"Advocacy Skills",2023-09-24,"I got to learn how to shelve a new section and shelf rear today.","5.  Real World Experience Response: I was able to help kids find books that they wanted and guide parents in the right direction for a book.","Plano Haggard Library",NA,NA,NA,NA,NA,"no_response","2023-09",2023,9,2024
"8",26131,2,"Real World Experience",2023-10-01,"I learned how to shelve in the Junior Fiction section today so I got to go through Early Readers and JF.","5.  Real World Experience Response: I helped put away books that were misplaced and I helped a kid search up a book to put it on hold.","Plano Haggard Library",NA,NA,NA,NA,NA,"no_response","2023-10",2023,10,2024
"9",26131,2,"Real World Experience",2023-10-08,"I shelved books today in the 3 sections I was trained in.","5.  Real World Experience Response: I got to help multiple kids find books through different sections and put books on hold.","Plano Haggard Library",NA,NA,NA,NA,NA,"no_response","2023-10",2023,10,2024
"10",26131,2,"Exploring Purpose",2023-10-15,"I continued to shelve books today and shelf read and I think I have gotten the hang of the system.","5.  Real World Experience Response: I was able to help move tables for an activity in the kids section of the library.","Plano Haggard Library",NA,NA,NA,NA,NA,"no_response","2023-10",2023,10,2024
